"","X.2","X.1","X","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"540",540,540,540,"Golden State Warriors","2/13/17",2016,1,7,54,"shot_no","Jump Shot","3PT Field Goal",24,"Denver Nuggets",204,144,"Stephen Curry",5
"541",541,541,541,"Golden State Warriors","2/13/17",2016,2,2,9,"shot_no","Jump Shot","3PT Field Goal",25,"Denver Nuggets",-191,164,"Stephen Curry",22
"542",542,542,542,"Golden State Warriors","2/13/17",2016,1,0,5,"shot_no","Jump Shot","3PT Field Goal",24,"Denver Nuggets",225,87,"Stephen Curry",12
"543",543,543,543,"Golden State Warriors","2/13/17",2016,1,10,48,"shot_no","Jump Shot","3PT Field Goal",24,"Denver Nuggets",204,139,"Stephen Curry",2
"544",544,544,544,"Golden State Warriors","2/13/17",2016,3,8,25,"shot_no","Jump Shot","3PT Field Goal",24,"Denver Nuggets",-6,242,"Stephen Curry",28
"545",545,545,545,"Golden State Warriors","2/13/17",2016,2,1,43,"shot_no","Jump Shot","3PT Field Goal",26,"Denver Nuggets",-179,193,"Stephen Curry",23
"546",546,546,546,"Golden State Warriors","2/13/17",2016,3,9,44,"shot_no","Jump Shot","3PT Field Goal",24,"Denver Nuggets",-114,219,"Stephen Curry",27
"547",547,547,547,"Golden State Warriors","2/13/17",2016,2,0,1,"shot_no","Jump Shot","3PT Field Goal",25,"Denver Nuggets",-168,190,"Stephen Curry",24
"548",548,548,548,"Golden State Warriors","2/1/17",2016,1,10,22,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-204,154,"Stephen Curry",2
"549",549,549,549,"Golden State Warriors","2/1/17",2016,1,11,38,"shot_yes","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",-196,183,"Stephen Curry",1
"550",550,550,550,"Golden State Warriors","2/1/17",2016,1,1,4,"shot_no","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",112,237,"Stephen Curry",11
"551",551,551,551,"Golden State Warriors","2/1/17",2016,1,6,47,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-210,151,"Stephen Curry",6
"552",552,552,552,"Golden State Warriors","2/1/17",2016,1,3,25,"shot_no","Jump Shot","3PT Field Goal",27,"Charlotte Hornets",127,244,"Stephen Curry",9
"553",553,553,553,"Golden State Warriors","2/1/17",2016,3,8,36,"shot_no","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",138,228,"Stephen Curry",28
"554",554,554,554,"Golden State Warriors","2/1/17",2016,3,4,58,"shot_no","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",204,144,"Stephen Curry",32
"555",555,555,555,"Golden State Warriors","2/1/17",2016,3,9,8,"shot_no","Jump Shot","2PT Field Goal",20,"Charlotte Hornets",-204,-5,"Stephen Curry",27
"556",556,556,556,"Golden State Warriors","2/1/17",2016,1,1,27,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-196,169,"Stephen Curry",11
"557",557,557,557,"Golden State Warriors","3/5/17",2016,1,5,23,"shot_yes","Jump Shot","2PT Field Goal",15,"New York Knicks",-127,90,"Stephen Curry",7
"558",558,558,558,"Golden State Warriors","12/13/16",2016,4,0,47,"shot_no","Jump Shot","2PT Field Goal",20,"New Orleans Pelicans",-178,105,"Stephen Curry",48
"559",559,559,559,"Golden State Warriors","12/13/16",2016,3,6,19,"shot_yes","Jump Shot","2PT Field Goal",22,"New Orleans Pelicans",146,169,"Stephen Curry",30
"560",560,560,560,"Golden State Warriors","1/18/17",2016,1,3,48,"shot_no","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-138,232,"Stephen Curry",9
"561",561,561,561,"Golden State Warriors","1/18/17",2016,2,0,0,"shot_no","Jump Shot","3PT Field Goal",52,"Oklahoma City Thunder",-19,522,"Stephen Curry",24
"562",562,562,562,"Golden State Warriors","1/18/17",2016,1,8,28,"shot_yes","Jump Shot","3PT Field Goal",29,"Oklahoma City Thunder",-6,291,"Stephen Curry",4
"563",563,563,563,"Golden State Warriors","1/18/17",2016,4,4,48,"shot_no","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-14,269,"Stephen Curry",44
"564",564,564,564,"Golden State Warriors","1/18/17",2016,2,0,39,"shot_no","Jump Shot","3PT Field Goal",28,"Oklahoma City Thunder",-43,283,"Stephen Curry",24
"565",565,565,565,"Golden State Warriors","1/18/17",2016,1,2,41,"shot_no","Jump Shot","2PT Field Goal",22,"Oklahoma City Thunder",-117,193,"Stephen Curry",10
"566",566,566,566,"Golden State Warriors","1/18/17",2016,3,5,45,"shot_yes","Jump Shot","3PT Field Goal",27,"Oklahoma City Thunder",15,277,"Stephen Curry",31
"567",567,567,567,"Golden State Warriors","1/18/17",2016,1,9,32,"shot_no","Jump Shot","2PT Field Goal",7,"Oklahoma City Thunder",-14,77,"Stephen Curry",3
"568",568,568,568,"Golden State Warriors","12/13/16",2016,3,2,55,"shot_no","Jump Shot","2PT Field Goal",14,"New Orleans Pelicans",148,16,"Stephen Curry",34
"569",569,569,569,"Golden State Warriors","3/5/17",2016,2,5,48,"shot_yes","Jump Shot","3PT Field Goal",23,"New York Knicks",-88,222,"Stephen Curry",19
"570",570,570,570,"Golden State Warriors","11/16/16",2016,4,1,38,"shot_no","Jump Shot","3PT Field Goal",26,"Toronto Raptors",232,121,"Stephen Curry",47
